project_name,sector_type,country,installed_capacity_mw,operational_status,owner,equity_stake_owner,equity_stake_operator,country_of_company_hq,company_type,company_type_for_label,is_operator,lender_type,substances,deal_type,parent_org,pid
serra_pelada,mining,brazil,,nan,colossus_minerals,0.75,1.0,canada,small_to_midtier_producer,small_to_midtier_producer,yes,private_equity,gold_platinum,full_asset_transaction,colossus_minerals,vzutp0
serra_pelada,mining,brazil,,nan,cooperativa_de_mineracao_dos_garimpeiros_de_serra_pelada,0.25,0.0,brazil,other,other,no,private_equity,gold_platinum,full_asset_transaction,cooperativa_de_mineracao_dos_garimpeiros_de_serra_pelada,abzf5z
siembra_minera,mining,venezuela,,nan,corporacion_venezolana_de_mineria_cvm,0.55,0.55,venezuela,soe,stateowned_enterprise,yes,nan,gold,greenfield,corporacion_venezolana_de_mineria_cvm,u0ltbx
siembra_minera,mining,venezuela,,nan,gold_reserve,0.45,0.45,usa,junior_exploration,junior_exploration,yes,nan,gold,greenfield,gold_reserve,9ja6cz
sosa_mendez_mine_reactivation,mining,venezuela,,nan,corporacion_venezolana_de_guayana_minerven,1.0,1.0,venezuela,soe,stateowned_enterprise,yes,nan,gold,partial_change_in_equity,cvg,icpixk
surubim,mining,brazil,,nan,goldmining,1.0,1.0,canada,junior_exploration,junior_exploration,yes,commercial_bank_commercial_bank,gold,greenfield,goldmining,xgtxjw
tarqui,mining,ecuador,,nan,luminex_resources,0.5,0.0,canada,junior_exploration,junior_exploration,no,nan,copper_gold_molybdenum_silver,greenfield,luminex_resources,plo5wv
tarqui,mining,ecuador,,nan,bhp_group,0.5,1.0,australia,major,major,yes,nan,copper_gold_molybdenum_silver,greenfield,bhp_group,pllh4q
tassawini,mining,guyana,,nan,stratagold_guyana,1.0,1.0,australia,junior_exploration,junior_exploration,yes,nan,gold,mergeracquisition,stratagold_guyana,wmtitp
the_lost_citiescutucu,mining,ecuador,,nan,aurania_resources,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,gold_silver_zinc,greenfield,aurania_resources,zfyyap
tibiti,mining,suriname,,nan,harvest_gold,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,gold,mergeracquisition,harvest_gold,17fu8w
timbara,mining,ecuador,,nan,solgold,1.0,1.0,australia,junior_exploration,junior_exploration,yes,nan,copper_gold,greenfield,solgold,zgrskg
tocantinzinho,mining,brazil,,nan,brazauro_recursos_minerais,1.0,1.0,canada,small_to_midtier_producer,small_to_midtier_producer,yes,nan,gold,mergeracquisition,brazauro_recursos_minerais,0wt6by
toroparu,mining,guyana,,nan,gold_x_mining_corp,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,gold,mergeracquisition,goldmining,s8brgu
trinta,mining,brazil,,nan,goldmining,1.0,1.0,canada,junior_exploration,junior_exploration,yes,investment_bank,gold,greenfield,goldmining,blmu6i
trombetas,mining,brazil,,nan,vale,0.4,0.4,brazil,major,major,yes,nan,bauxite,greenfield,vale,zqhp1k
trombetas,mining,brazil,,nan,alcoa_corporation,0.182,0.182,usa,major,major,yes,nan,bauxite,greenfield,alcoa_corporation,cmdfhy
trombetas,mining,brazil,,nan,companhia_brasileira_de_aluminio,0.1,0.1,brazil,small_to_midtier_producer,small_to_midtier_producer,yes,nan,bauxite,greenfield,companhia_brasileira_de_aluminio,yknccc
trombetas,mining,brazil,,nan,norsk_hydro,0.05,0.05,norway,major,major,yes,nan,bauxite,greenfield,norsk_hydro,wskr8e
trombetas,mining,brazil,,nan,rio_tinto,0.12,0.12,uk,major,major,yes,nan,bauxite,greenfield,rio_tinto,glrdbu
trombetas,mining,brazil,,nan,south32,0.148,0.148,australia,major,major,yes,nan,bauxite,greenfield,south32,qdfetf
tucano,mining,brazil,,nan,great_panther_mining_limited,1.0,1.0,canada,small_to_midtier_producer,small_to_midtier_producer,yes,investment_bank,gold,full_asset_transaction,great_panther_mining_limited,ust0jq
tucuma,mining,brazil,,nan,soma_gold,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,gold,full_asset_transaction,soma_gold,1pycw3
uniao,mining,brazil,,nan,anglo_american,1.0,1.0,uk,major,major,yes,nan,copper_gold,greenfield,anglo_american,4o00uf
vermelho,mining,brazil,,nan,horizonte_minerals,1.0,1.0,uk,junior_exploration,junior_exploration,yes,nan,cobalt_nickel,full_asset_transaction,horizonte_minerals,fbzzlx
veta_islay,mining,peru,,nan,compania_minera_volcan,1.0,1.0,peru,junior_exploration,junior_exploration,yes,nan,copper_lead_silver_zinc,greenfield,compania_minera_volcan,ivo0ez
volta_grande,mining,brazil,,nan,belo_sun_mining,1.0,1.0,canada,small_to_midtier_producer,small_to_midtier_producer,yes,investment_bank_commercial_bank_holding_company_investment_bank_investment_bank,gold,greenfield,belo_sun_mining,lfetvc
warintza,mining,ecuador,,nan,solaris_resources,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,copper_molybdenum,mergeracquisition,solaris_resources,nabkju
wynamu,mining,guyana,,nan,guyana_goldfields,1.0,1.0,china,soe,stateowned_enterprise,yes,nan,gold,greenfield,guyana_goldfields,copqlr
